FID,country,area,location,site_code,site_name,old_site_codes,latitude,longitude,realm,province,ecoregion,lat_zone,programs,geom
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c9,Australia,Tasmania,Port Davey,PD-S12,"Shark Jaw Gulch, 5m",1612,-43.31,145.84,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.84 -43.31)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c8,Australia,Tasmania,Port Davey,PD-S16,West Pyramid,1616,-43.3,145.82,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.82 -43.3)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c7,Australia,Tasmania,Port Davey,TAS148,Joan Point,BCPD1,-43.34,146.09,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.09 -43.34)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c6,Australia,Tasmania,Port Davey,TAS150,Munday Island,BCPD3,-43.34,146.01,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.01 -43.34)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c5,Australia,Tasmania,King Island,TAS392,Naracoopa Baudins,KIS1,-39.92,144.12,Temperate Australasia,Southeast Australian Shelf,Western Bassian,Temperate,RLS,POINT (144.12 -39.92)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c4,Australia,Tasmania,King Island,TAS381,"Sandblow Channel, 10m",808,-40.08,144.04,Temperate Australasia,Southeast Australian Shelf,Western Bassian,Temperate,ATRC,POINT (144.04 -40.08)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c3,Australia,Tasmania,Port Davey,TAS147,Forrester Point,BCPD2,-43.34,146.01,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.01 -43.34)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c2,Australia,Tasmania,Port Davey,PD-S29,Sarah Island,"1501,BH-S1",-43.33,146,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (146 -43.33)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c1,Australia,Tasmania,Port Davey,PD-S24,South Channel Head,1624,-43.33,145.99,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.99 -43.33)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50c0,Australia,Tasmania,Port Davey,PD-S10,Milner Head,1610,-43.32,145.99,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.99 -43.32)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50bf,Australia,Tasmania,Port Davey,TAS152,Milner Head North,1608,-43.32,145.98,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.98 -43.32)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50be,Australia,Tasmania,Port Davey,TAS91,North Breaksea Island,,-43.32,145.97,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (145.97 -43.32)
