db,country,location,site,latitude,longitude
darling_etal_2019,Australia,NA,DaviesExposedCrest3,-18.81038889,147.6711944
darling_etal_2019,Australia,NA,DaviesExposedFlat1,-18.81833333,147.6654167
darling_etal_2019,Australia,NA,DaviesExposedFlat2,-18.81686111,147.6673611
darling_etal_2019,Australia,NA,DaviesExposedFlat3,-18.81038889,147.6711944
darling_etal_2019,Australia,NA,DaviesExposedSlope1,-18.81833333,147.6654167
darling_etal_2019,Australia,NA,DaviesExposedSlope2,-18.81686111,147.6673611
darling_etal_2019,Australia,NA,DaviesExposedSlope3,-18.81038889,147.6711944
darling_etal_2019,Australia,NA,DaviesShelteredCrest1,-18.80180556,147.6558056
darling_etal_2019,Australia,NA,DaviesShelteredCrest2,-18.80294444,147.6511111
darling_etal_2019,Australia,NA,DaviesShelteredCrest3,-18.80358333,147.6472222
darling_etal_2019,Australia,NA,DaviesShelteredFlat1,-18.80180556,147.6558056
darling_etal_2019,Australia,NA,DaviesShelteredFlat2,-18.80294444,147.6511111
darling_etal_2019,Australia,NA,DaviesShelteredFlat3,-18.80358333,147.6472222
darling_etal_2019,Australia,NA,DaviesShelteredSlope1,-18.80180556,147.6558056
darling_etal_2019,Australia,NA,DaviesShelteredSlope2,-18.80294444,147.6511111
darling_etal_2019,Australia,NA,DaviesShelteredSlope3,-18.80358333,147.6472222
darling_etal_2019,Australia,NA,DI_20m,-12.08850618,96.87154274
darling_etal_2019,Australia,NA,DI_5m,-12.08850618,96.87154274
darling_etal_2019,Australia,NA,Dip Reef,-18.4038,147.4488
darling_etal_2019,Australia,NA,DoneReef_10,-16.57,146.11
darling_etal_2019,Australia,NA,DoneReef_20,-16.57,146.11
darling_etal_2019,Australia,NA,DoneReef_30,-16.57,146.11
darling_etal_2019,Australia,NA,DU1,-20.1723,149.0074
darling_etal_2019,Australia,NA,DU2,-20.1752,149.0096
darling_etal_2019,Australia,NA,E1,-20.2315,149.0425
darling_etal_2019,Australia,NA,East Koks Is,-24.75690297,113.1622273
darling_etal_2019,Australia,NA,Egg Island (Quoin Bluff),-25.89817824,113.1546727
darling_etal_2019,Australia,NA,Eisvldt_20m,-10.44076667,105.6592
darling_etal_2019,Australia,NA,Eisvldt_5m,-10.44076667,105.6592
darling_etal_2019,Australia,NA,Elizabeth1_10m,-29.95268333,159.0215833
darling_etal_2019,Australia,NA,Elizabeth1_4m,-29.95268333,159.0215833
darling_etal_2019,Australia,NA,Elizabeth2_3m,-29.94333333,159.0183333
darling_etal_2019,Australia,NA,Elizabeth2_8m,-29.94333333,159.0183333
darling_etal_2019,Australia,NA,Elizabeth3_3m,-29.93283333,159.0231667
darling_etal_2019,Australia,NA,Elizabeth3_9m,-29.93283333,159.0231667
darling_etal_2019,Australia,NA,Elizabeth4_3m,-29.92693333,159.0401
darling_etal_2019,Australia,NA,Elizabeth4_9m,-29.92693333,159.0401
darling_etal_2019,Australia,NA,Elizabeth5_3m,-29.91855,159.0605833
darling_etal_2019,Australia,NA,Elizabeth5_9m,-29.91855,159.0605833
darling_etal_2019,Australia,NA,Elizabeth6_1m,-29.935225,159.0911833
darling_etal_2019,Australia,NA,Elizabeth6_5m,-29.935225,159.0911833
darling_etal_2019,Australia,NA,Elizabeth7_2m,-29.93616667,159.0516167
darling_etal_2019,Australia,NA,Elizabeth7_6m,-29.93616667,159.0516167
darling_etal_2019,Australia,NA,Erscott_2m,-31.54724,159.062904
darling_etal_2019,Australia,NA,Erscott_8m,-31.54724,159.062904
darling_etal_2019,Australia,NA,Erscotts_3m,-31.54724,159.062904
darling_etal_2019,Australia,NA,Ethel Beach_20m,-10.46386667,105.7082333
darling_etal_2019,Australia,NA,Ethel Beach_5m,-10.46386667,105.7082333
darling_etal_2019,Australia,NA,Fairey Reef,-19.5337,148.9337
darling_etal_2019,Australia,NA,Fairey Reef 2,-19.5337,148.9337
darling_etal_2019,Australia,NA,Fingal Island,-32.7402,152.1947333
darling_etal_2019,Australia,NA,Flat Rock,-27.39306,153.5522
darling_etal_2019,Australia,NA,Flinders Reef,-26.97765,153.48412
