db,country,site,latitude,longitude
reefcheck,Lesser Antilles,61.4.5W.13.51.7N,13.86166667,-61.075
reefcheck,Lesser Antilles,61.4.80W.13.51.84N,13.864,-61.08
reefcheck,Lesser Antilles,61.4.77E.13.51.95N,13.86583333,-61.0795
reefcheck,Mariana Islands,145.11.31E.14.10.2N,14.17083333,145.1885
reefcheck,Mariana Islands,145.11.15E.14.10.4N,14.1745,145.1858333
reefcheck,Lesser Antilles,61.5.771W.14.31.267N,14.52111111,-61.09619444
reefcheck,Mariana Islands,145.44.13E.15.6.7N,15.10194444,145.7369444
reefcheck,Mariana Islands,145.44.285E.15.06.277N,15.10461111,145.7380833
reefcheck,Mariana Islands,145.41.48.8E.15.09.41.5N,15.16152778,145.6968889
reefcheck,Lesser Antilles,61.22.18.3W.15.12.49.5N,15.21375,-61.37175
reefcheck,Lesser Antilles,61.22.206W.15.14.213N,15.23688889,-61.37011111
reefcheck,Lesser Antilles,61.24.45.1W.15.22.50.7N,15.38075,-61.41252778
reefcheck,Lesser Antilles,15.24.25.6N.61.25.38.6W,15.40711111,-61.42738889
reefcheck,Lesser Antilles,15.25.36N.61.26.52W,15.42666667,-61.44777778
reefcheck,Lesser Antilles,61.26.741W.15.26.317N,15.43861111,-61.44569444
reefcheck,Lesser Antilles,61.28.541W.15.34.895N,15.58158333,-61.47569444
reefcheck,South Red Sea,39.45.633E15.34.957N,15.58261667,39.76055
reefcheck,Lesser Antilles,15.35.25.9N.61.28.26.9W,15.59052778,-61.47413889
reefcheck,South Red Sea,39.45.729E15.47.444N,15.79073333,39.76215
reefcheck,Southeast Asia,NSHonTai,15.90811111,108.5333889
reefcheck,Southeast Asia,108.31728E.15.55799N,15.92997222,108.5288056
reefcheck,Mesoamerican Reef,86.31.23W.15.56.16.6N,15.93794444,-86.52305556
reefcheck,Southeast Asia,108.28685E.15.56736N,15.94561111,108.4780833
reefcheck,Mesoamerican Reef,86.31.065W.15.57.253N,15.95422222,-86.51775
reefcheck,Mesoamerican Reef,NSLaCulilera,15.95705556,-86.47125
reefcheck,Southeast Asia,108.29372E.15.576N,15.96,108.4895278
reefcheck,Mesoamerican Reef,86.30.063W.15.57.792N,15.96319444,-86.50105556
reefcheck,Southeast Asia,108.29103E.15.57795N,15.96325,108.4850556
reefcheck,Mesoamerican Reef,86.29.244W.15.58.599N,15.97663889,-86.48738889
reefcheck,Mesoamerican Reef,86.29.064W.15.58.711N,15.97852778,-86.48438889
reefcheck,Mesoamerican Reef,86.55.2.3W.16.4.59.1N,16.08308333,-86.91730556
reefcheck,Mesoamerican Reef,16N86W1,16.08333333,-86.91666667
reefcheck,Mesoamerican Reef,86.59.56.1W.16.05.11.6N,16.08655556,-86.99891667
reefcheck,Southeast Asia,108.15.39E.16.05.20N,16.08888889,108.2608333
reefcheck,Southeast Asia,108.15.47E.16.05.21N,16.08916667,108.2630556
reefcheck,Southeast Asia,108.16.10E.16.05.42N,16.095,108.2694444
reefcheck,Southeast Asia,108.18.08E.16.05.48N,16.09666667,108.3022222
reefcheck,Southeast Asia,108.16.29E.16.05.49N,16.09694444,108.2747222
reefcheck,Southeast Asia,108.16.29E.16.5.49N,16.09694444,108.2747222
reefcheck,Southeast Asia,108.17.58E.16.06.06N,16.10166667,108.2994444
reefcheck,Southeast Asia,108.18.37E.16.06.19N,16.10527778,108.3102778
reefcheck,Southeast Asia,108.18.42E.16.06.42N,16.11166667,108.3116667
reefcheck,Southeast Asia,108.19.16E.16.06.57N,16.11583333,108.3211111
reefcheck,Southeast Asia,108.19.53E.16.07.03N,16.1175,108.3313889
reefcheck,Southeast Asia,108.18.36E.16.7.57N,16.1325,108.31
reefcheck,Southeast Asia,108.13.41E.16.8.12N,16.13666667,108.2280556
reefcheck,Southeast Asia,108.13.49E.16.08.32N,16.14222222,108.2302778
reefcheck,Southeast Asia,108.16.12E.16.08.42N,16.145,108.27
reefcheck,Southeast Asia,108.15.45E.16.08.49N,16.14694444,108.2625
reefcheck,Southeast Asia,108.14.04E.16.08.53N,16.14805556,108.2344444
reefcheck,Southeast Asia,108.10.07E.16.11.34N,16.19277778,108.1686111
reefcheck,Southeast Asia,108.11.08E.16.11.59N,16.19972222,108.1855556
reefcheck,Southeast Asia,108.11.28E.16.11.59N,16.19972222,108.1911111
reefcheck,Mesoamerican Reef,16N88W1,16.80305556,-88.07888889
reefcheck,Mesoamerican Reef,88.04.552W.16.49.720N,16.82861111,-88.07583333
reefcheck,Lesser Antilles,62.38.7W.17.9.58.1N,17.16613889,-62.63527778
reefcheck,Lesser Antilles,17.10.2.1N.62.37.45.6W,17.16725,-62.62933333
reefcheck,Lesser Antilles,62.68056W.17.186050N,17.18605556,-62.68055556
reefcheck,Lesser Antilles,61.49.89W.17.11.785N,17.19641667,-61.8315
reefcheck,Lesser Antilles,17.12.56.6N.62.37.23.6W,17.21572222,-62.62322222
reefcheck,Lesser Antilles,62.39.38.3W.17.13.23.2N,17.22311111,-62.66063889
reefcheck,Lesser Antilles,62.43.145W.17.16.486N,17.27477778,-62.71908333
reefcheck,Mesoamerican Reef,17N87W1,17.27902778,-87.80522222
reefcheck,Central Caribbean,76.59.093W.17.49.766N,17.82944444,-76.98488889
reefcheck,Central Caribbean,76.55.33W.17.49.939N,17.832305560000002,-76.92216667
reefcheck,Mesoamerican Reef,17N87W2,17.86333333,-87.9725
reefcheck,Central Caribbean,76.50.753W.17.54.111N,17.90186111,-76.84588889
reefcheck,Lesser Antilles,63.3.35.9W.17.59.22.4N,17.98955556,-63.05997222
reefcheck,Lesser Antilles,64.43.357W.18.0.059N,18.00097222,-64.72261111
reefcheck,Central Caribbean,77.59.168W.18.5.996N,18.09994444,-77.98613889
reefcheck,Central Caribbean,78.2.295W.18.8.188N,18.13647222,-78.03825
reefcheck,South China Sea,109.49E.18.195N,18.1845,109.484
reefcheck,South China Sea,109.466E18.209N,18.20916667,109.4658333
reefcheck,South China Sea,109.30.24E.18.12.33N,18.20916667,109.5066667
reefcheck,Central Caribbean,78.15.577W.18.12.568N,18.20947222,-78.25961111
reefcheck,South China Sea,109.46E.18.21N,18.21,109.21
reefcheck,South China Sea,109.29.48E.18.12.42N,18.21166667,109.4966667
reefcheck,South China Sea,109.30.615E.18.12.78N,18.213,109.51025
reefcheck,Lesser Antilles,63.03W.18.14N,18.24838889,-63.05113889
reefcheck,Central Caribbean,78.22.03.8W.18.15.26N,18.25722222,-78.36772222
reefcheck,Central Caribbean,78.21.976W.18.15.709N,18.26180556,-78.36627778
reefcheck,Central Caribbean,74.222866W.18.174591N,18.28730556,-74.34333333
reefcheck,Central Caribbean,74.222866W.18.174591N2,18.28730556,-74.34333333
reefcheck,Lesser Antilles,64.42.20.3W.18.18.22.8N,18.30633333,-64.70563889
reefcheck,Lesser Antilles,64.42.24.1W.18.18.24.9N,18.30691667,-64.70669444
reefcheck,Lesser Antilles,64.43.27.9W.18.19.3.78N,18.31772222,-64.72441667
reefcheck,Lesser Antilles,64.43.33.24W.18.19.10.02N,18.31944444,-64.72588889
reefcheck,Lesser Antilles,64.36.31W.18.19.322N,18.32202778,-64.60516667
reefcheck,Lesser Antilles,64.36.161W.18.19.477N,18.32461111,-64.60269444
reefcheck,Central Caribbean,NSParco,18.32833333,-68.81805556
reefcheck,Central Caribbean,78.20.923W.18.19.764N,18.32938889,-78.34872222
reefcheck,Lesser Antilles,64.37.64W.18.19.9N,18.33166667,-64.62733333
reefcheck,Lesser Antilles,64.36.02W.18.19.56N,18.33222222,-64.60055556
reefcheck,Lesser Antilles,18N64W3,18.33333333,-64.625
reefcheck,Lesser Antilles,64.37.6W.18.20.1N,18.335,-64.62666667
reefcheck,Lesser Antilles,64.47.142W.18.20.312N,18.33852778,-64.78569444
reefcheck,Central Caribbean,78.21.341W.18.20.517N,18.34194444,-78.35569444
reefcheck,Central Caribbean,78.21.335W.18.20.535N,18.34225,-78.35558333
reefcheck,Central Caribbean,68.49.57.3W.18.20.33.6N,18.34266667,-68.83258333
reefcheck,Central Caribbean,78.21.12.6W.18.20.40.9N,18.3447,-78.3535
reefcheck,Central Caribbean,78.21.13.6W.18.20.42.1N,18.34502778,-78.35377778
reefcheck,Lesser Antilles,64.46.872W.18.20.79N,18.3465,-64.78119444
reefcheck,Lesser Antilles,64.51.945W.18.20.974N,18.34955556,-64.86575
reefcheck,Lesser Antilles,64.51.885W.18.21.001N,18.35002778,-64.86475
reefcheck,Lesser Antilles,64.46.201W.18.21.1N,18.35166667,-64.77002778
reefcheck,Lesser Antilles,64.45.169W.18.21.163N,18.35272222,-64.75280556
reefcheck,Central Caribbean,21N78W1,18.35483333,-78.34466667
reefcheck,Lesser Antilles,64.44.40.3W.18.21.31.2N,18.35866667,-64.74452778
reefcheck,Central Caribbean,78.20.37.6W.18.21.32.2N,18.35895,-78.34378333
reefcheck,Central Caribbean,78.20.596W.18.21.653N,18.36088889,-78.34327778
reefcheck,Lesser Antilles,64.30.61W.18.22.408N,18.37347222,-64.51016667
reefcheck,Central Caribbean,77.5.383W.18.24.567N,18.40944444,-77.08972222
reefcheck,Central Caribbean,76.58.728W.18.24.588N,18.40980556,-76.97880556
reefcheck,Central Caribbean,76.56.911W.18.24.650N,18.41083333,-76.94852778
reefcheck,Central Caribbean,76.59.503W.18.24.717N,18.41194444,-76.99172222
reefcheck,Central Caribbean,76.56.722W.18.24.743N,18.41238889,-76.94536111
reefcheck,Central Caribbean,76.56.641W.18.24.784N,18.41305556,-76.94402778
reefcheck,Central Caribbean,77.7.443W.18.24.907N,18.41511111,-77.12405556
reefcheck,Central Caribbean,77.4.740W.18.24.996N,18.41661111,-77.079
reefcheck,Central Caribbean,77.4.197W.18.25.147N,18.41911111,-77.06994444
reefcheck,Central Caribbean,69.41.6.8W.18.26.5.4N,18.43483333,-69.68522222
reefcheck,Central Caribbean,69.37.14.4W.18.26.13.2N,18.437,-69.62066667
reefcheck,Central Caribbean,69.41.30W.18.26.28N,18.44111111,-69.69166667
reefcheck,Central Caribbean,68.25.12.79W.18.26.56.63N,18.44905556,-68.42022222
