"","lat","lon"
"143",23.49066,-79.87989
"144",23.05857,-73.758
"145",23.10675,-73.77262
"146",23.07128,-73.78478
"147",23.0894,-73.82238
"148",23.07783,-73.64955
"149",23.0998,-73.67068
"150",23.85732,-75.09753
"151",23.81205,-75.12175
"152",23.91683,-75.1207
"153",23.86913,-75.13172
"154",23.82177,-75.129
"155",23.79335,-75.10062
"156",22.6237,-73.63078
"157",22.62012,-73.53858
"158",22.5736,-73.46725
"159",22.5846,-73.46868
"160",22.61133,-73.56403
"161",22.6237,-73.62452
"162",22.61757,-73.61423
"163",22.57335,-73.605
"164",22.58293,-73.63245
"165",24.37122,-75.4703
"166",24.61775,-75.61258
"167",24.7616,-76.84251
"168",24.68995,-76.8006
"169",25.57394,-76.71597
"170",25.56845,-76.67504
"171",24.81157,-76.3484
"172",24.78228,-76.83418
"173",24.28622,-76.54351
"174",25.31271,-76.8832
"175",24.7798,-76.81465
"176",24.59682,-76.78236
"177",25.39835,-76.85905
"178",24.81728,-76.35419
"179",24.793,-76.3365
"180",24.10432,-75.43183
"181",24.42726,-76.67471
"182",24.78576,-76.33286
"183",24.88022,-76.79179
"184",25.5692,-76.79897
"185",24.27742,-75.35005
"186",24.87291,-76.39208
"187",24.7564,-76.83013
"188",24.40006,-76.68404
"189",25.56812,-76.62986
"190",24.91424,-76.14077
"191",24.92104,-76.13638
"192",24.79885,-76.33658
"193",24.50842,-76.74718
"194",24.8085,-76.34727
"195",25.34204,-76.38132
"196",24.35034,-76.5892
"197",24.7406,-76.8052
"198",24.62338,-76.13175
"199",24.61323,-76.15158
"200",24.61107,-76.14153
"201",24.64522,-76.13972
"202",24.65001,-76.13989
"203",24.63589,-76.13903
"204",24.62706,-76.13512
"205",24.60818,-76.14996
"206",24.61325,-76.14588
"207",24.63091,-76.13642
"208",24.61129,-76.14009
"209",24.4429,-76.73896
"210",24.78163,-76.83808
"211",24.80557,-76.81364
"212",24.67649,-76.21635
"213",25.37552,-76.49865
"214",24.78175,-76.32819
"215",25.49606,-76.89023
"216",24.4258,-76.68712
"217",24.73828,-76.80453
"218",24.73825,-76.8047
"219",25.48128,-76.62697
"220",25.43012,-76.57812
"221",24.14278,-75.33247
"222",24.27794,-76.53764
"223",25.56747,-76.66298
"224",25.47508,-76.62342
"225",24.43173,-76.68572
"226",24.57527,-76.77645
"227",24.78556,-76.33321
"228",24.8182,-76.34778
"229",24.75775,-76.29782
"230",25.39075,-76.85703
"231",25.10448,-76.10426
"232",25.10793,-76.10986
"233",25.08858,-76.10303
"234",25.07069,-76.10467
"235",25.05623,-76.10267
"236",25.04741,-76.10423
"237",25.13143,-76.10776
"238",25.02333,-76.11263
"239",24.04423,-75.4757
"240",24.42973,-76.68506
"241",24.81525,-76.3496
"242",24.68642,-76.8009
"243",24.13757,-75.38315
"244",26.55791,-77.87827
"245",26.50019,-77.8423
"246",26.50864,-77.84569
"247",26.60954,-77.91863
"248",26.6032,-77.91306
"249",27.28628,-78.37655
"250",26.59583,-78.39472
"251",26.59722,-78.354
"252",26.59611,-78.37083
"253",26.59389,-78.39611
"254",26.59722,-78.39778
"255",26.59861,-78.37639
"256",26.59667,-78.38556
"257",26.59472,-78.38333
"258",26.59389,-78.40333
"259",26.60785,-78.24897
"260",26.54448,-78.52396
"261",26.54935,-78.52605
"262",26.5581,-77.87994
"263",27.28293,-78.37902
"264",27.2682,-78.3788
"265",26.50025,-77.8423
"266",27.28438,-78.38847
"267",26.72849,-79.01884
"268",26.77388,-79.04646
"269",26.7107,-79.00604
"270",26.72132,-79.01328
"271",26.74056,-79.02538
"272",26.60148,-78.31682
"273",21.11241,-73.67271
"274",21.13884,-73.57152
"275",21.12559,-73.65472
"276",21.1329,-73.61866
"277",21.08957,-73.65251
"278",21.02854,-73.69021
"279",21.01152,-73.70364
"280",20.97379,-73.68474
"281",21.03189,-73.66754
