id,Latitude,Longitude,crs,SOVEREIGN1,TERRITORY1,ECO_CODE,ECOREGION,REALM
15913,-12.17391056,136.7238417,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15914,-12.1772607,136.7239628,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15915,-12.17927954,136.7230966,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15916,-12.180647049999996,136.7201777,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15917,-12.18252759,136.7181395,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15918,-12.18355031,136.7139146,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15919,-12.18508367,136.7094235,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15920,-12.18400651,136.7073,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15921,-12.18499079,136.7046872,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15922,-12.18386635,136.702407,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15923,-12.18488194,136.6999147,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15924,-12.18326151,136.6978543,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15925,-12.18397228,136.6954538,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15926,-12.182365370000003,136.6930206,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15927,-12.18237147,136.6904835,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15928,-12.18058735,136.6881899,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15929,-12.18097973,136.6855505,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16874,-13.811823000000004,136.42806,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15183,-10.334299999999997,132.7522,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
